Epoch 1/20, Train Loss: 2.2068, Val Loss: 0.6617
Epoch 2/20, Train Loss: 0.5258, Val Loss: 0.5043
Epoch 3/20, Train Loss: 0.4841, Val Loss: 1.2479
Epoch 4/20, Train Loss: 0.7768, Val Loss: 0.6909
Epoch 5/20, Train Loss: 1.5301, Val Loss: 4.3228
Epoch 6/20, Train Loss: 1.3549, Val Loss: 1.0057
Epoch 7/20, Train Loss: 1.2827, Val Loss: 1.5825
Epoch 8/20, Train Loss: 1.6170, Val Loss: 0.7760
Epoch 9/20, Train Loss: 0.6272, Val Loss: 0.7993
Epoch 10/20, Train Loss: 0.6633, Val Loss: 0.5919
Epoch 11/20, Train Loss: 0.6803, Val Loss: 0.7864
Epoch 12/20, Train Loss: 1.1692, Val Loss: 4.0290
Epoch 13/20, Train Loss: 1.3154, Val Loss: 0.7034
