Epoch 1/30, Train Loss: 1.1347, Val Loss: 0.1947
Epoch 2/30, Train Loss: 0.1201, Val Loss: 0.0911
Epoch 3/30, Train Loss: 0.0685, Val Loss: 0.0687
Epoch 4/30, Train Loss: 0.0482, Val Loss: 0.0502
Epoch 5/30, Train Loss: 0.0374, Val Loss: 0.0426
Epoch 6/30, Train Loss: 0.0306, Val Loss: 0.0390
Epoch 7/30, Train Loss: 0.0258, Val Loss: 0.0345
Epoch 8/30, Train Loss: 0.0218, Val Loss: 0.0327
Epoch 9/30, Train Loss: 0.0193, Val Loss: 0.0309
Epoch 10/30, Train Loss: 0.0171, Val Loss: 0.0297
Epoch 11/30, Train Loss: 0.0147, Val Loss: 0.0280
Epoch 12/30, Train Loss: 0.0134, Val Loss: 0.0277
Epoch 13/30, Train Loss: 0.0123, Val Loss: 0.0270
Epoch 14/30, Train Loss: 0.0109, Val Loss: 0.0259
Epoch 15/30, Train Loss: 0.0100, Val Loss: 0.0258
Epoch 16/30, Train Loss: 0.0093, Val Loss: 0.0252
Epoch 17/30, Train Loss: 0.0087, Val Loss: 0.0252
Epoch 18/30, Train Loss: 0.0083, Val Loss: 0.0262
Epoch 19/30, Train Loss: 0.0074, Val Loss: 0.0246
Epoch 20/30, Train Loss: 0.0071, Val Loss: 0.0249
Epoch 21/30, Train Loss: 0.0063, Val Loss: 0.0252
Epoch 22/30, Train Loss: 0.0065, Val Loss: 0.0250
Epoch 23/30, Train Loss: 0.0060, Val Loss: 0.0256
Epoch 24/30, Train Loss: 0.0060, Val Loss: 0.0247
Epoch 25/30, Train Loss: 0.0061, Val Loss: 0.0247
Epoch 26/30, Train Loss: 0.0056, Val Loss: 0.0246
Epoch 27/30, Train Loss: 0.0051, Val Loss: 0.0253
Epoch 28/30, Train Loss: 0.0044, Val Loss: 0.0248
Epoch 29/30, Train Loss: 0.0042, Val Loss: 0.0241
Epoch 30/30, Train Loss: 0.0037, Val Loss: 0.0248
