Training model with 64 epochs
Epoch 1/30, Train Loss: 2.9201, Val Loss: 0.7464
Epoch 2/30, Train Loss: 0.4004, Val Loss: 0.2629
Epoch 3/30, Train Loss: 0.1788, Val Loss: 0.2561
Epoch 4/30, Train Loss: 0.1257, Val Loss: 0.1271
Epoch 5/30, Train Loss: 0.0888, Val Loss: 0.0936
Epoch 6/30, Train Loss: 0.0717, Val Loss: 0.0911
Epoch 7/30, Train Loss: 0.0593, Val Loss: 0.0772
Epoch 8/30, Train Loss: 0.0500, Val Loss: 0.0573
Epoch 9/30, Train Loss: 0.0430, Val Loss: 0.0553
Epoch 10/30, Train Loss: 0.0382, Val Loss: 0.0685
Epoch 11/30, Train Loss: 0.0343, Val Loss: 0.0450
Epoch 12/30, Train Loss: 0.0307, Val Loss: 0.0425
Epoch 13/30, Train Loss: 0.0283, Val Loss: 0.0501
Epoch 14/30, Train Loss: 0.0265, Val Loss: 0.0410
Epoch 15/30, Train Loss: 0.0237, Val Loss: 0.0381
Epoch 16/30, Train Loss: 0.0219, Val Loss: 0.0378
Epoch 17/30, Train Loss: 0.0205, Val Loss: 0.0376
Epoch 18/30, Train Loss: 0.0191, Val Loss: 0.0353
Epoch 19/30, Train Loss: 0.0176, Val Loss: 0.0348
Epoch 20/30, Train Loss: 0.0167, Val Loss: 0.0363
Epoch 21/30, Train Loss: 0.0158, Val Loss: 0.0341
Epoch 22/30, Train Loss: 0.0149, Val Loss: 0.0349
Epoch 23/30, Train Loss: 0.0139, Val Loss: 0.0313
Epoch 24/30, Train Loss: 0.0131, Val Loss: 0.0314
Epoch 25/30, Train Loss: 0.0123, Val Loss: 0.0331
Epoch 26/30, Train Loss: 0.0218, Val Loss: 0.1102
Epoch 27/30, Train Loss: 0.0204, Val Loss: 0.0598
Epoch 28/30, Train Loss: 0.0141, Val Loss: 0.0339
Epoch 29/30, Train Loss: 0.0121, Val Loss: 0.0308
Epoch 30/30, Train Loss: 0.0105, Val Loss: 0.0414
